date,website,headline_count
2024-06-13,U.Today,94
2024-06-13,BeInCrypto,0
2024-06-13,CryptoTimes,30
2024-06-14,Decrypt,15
2024-06-14,Blockworks,24
2024-06-14,CoinDesk,9
2024-06-14,U.Today,94
2024-06-14,BeInCrypto,6
2024-06-14,CryptoTimes,30
2024-06-15,Decrypt,15
2024-06-15,Blockworks,24
2024-06-15,CoinDesk,9
2024-06-15,U.Today,94
2024-06-15,BeInCrypto,6
2024-06-15,CryptoTimes,30
2024-06-16,Decrypt,15
2024-06-16,Blockworks,24
2024-06-16,CoinDesk,9
2024-06-16,U.Today,94
2024-06-16,BeInCrypto,6
2024-06-16,CryptoTimes,30
2024-06-17,Decrypt,15
2024-06-17,Blockworks,24
2024-06-17,CoinDesk,9
2024-06-17,U.Today,94
2024-06-17,BeInCrypto,6
2024-06-17,CryptoTimes,30
2024-06-18,Decrypt,15
2024-06-18,Blockworks,24
2024-06-18,CoinDesk,9
2024-06-18,U.Today,94
2024-06-18,BeInCrypto,6
2024-06-18,CryptoTimes,30
2024-06-19,Decrypt,15
2024-06-19,Blockworks,24
2024-06-19,CoinDesk,9
2024-06-19,U.Today,94
2024-06-19,BeInCrypto,6
2024-06-19,CryptoTimes,30
2024-06-20,Decrypt,15
2024-06-20,Blockworks,24
2024-06-20,CoinDesk,9
2024-06-20,U.Today,94
2024-06-20,BeInCrypto,6
2024-06-20,CryptoTimes,30
2024-06-21,Decrypt,15
2024-06-21,Blockworks,24
2024-06-21,CoinDesk,9
2024-06-21,U.Today,94
2024-06-21,BeInCrypto,6
2024-06-21,CryptoTimes,30
2024-06-22,Decrypt,15
2024-06-22,Blockworks,24
2024-06-22,CoinDesk,9
2024-06-22,U.Today,94
2024-06-22,BeInCrypto,0
2024-06-22,CryptoTimes,30
2024-06-23,Decrypt,15
2024-06-23,Blockworks,24
2024-06-23,CoinDesk,9
2024-06-23,U.Today,94
2024-06-23,BeInCrypto,0
2024-06-23,CryptoTimes,30
2024-06-24,Decrypt,15
2024-06-24,Blockworks,24
2024-06-24,CoinDesk,9
2024-06-24,U.Today,94
2024-06-24,BeInCrypto,0
2024-06-24,CryptoTimes,30
2024-06-25,Decrypt,15
2024-06-25,Blockworks,24
2024-06-25,CoinDesk,9
2024-06-25,U.Today,94
2024-06-25,BeInCrypto,0
2024-06-25,CryptoTimes,30
2024-06-26,Decrypt,0
2024-06-26,Blockworks,24
2024-06-26,CoinDesk,9
2024-06-26,U.Today,94
2024-06-26,BeInCrypto,6
2024-06-26,CryptoTimes,30
2024-06-27,Decrypt,15
2024-06-27,Blockworks,24
2024-06-27,CoinDesk,9
2024-06-27,U.Today,94
2024-06-27,BeInCrypto,6
2024-06-27,CryptoTimes,30
2024-06-28,Decrypt,15
2024-06-28,Blockworks,24
2024-06-28,CoinDesk,9
2024-06-28,U.Today,94
2024-06-28,BeInCrypto,6
2024-06-28,CryptoTimes,30
2024-06-29,Decrypt,15
2024-06-29,Blockworks,24
2024-06-29,CoinDesk,9
2024-06-29,U.Today,94
2024-06-29,BeInCrypto,6
2024-06-29,CryptoTimes,30
2024-06-30,Decrypt,15
2024-06-30,Blockworks,24
2024-06-30,CoinDesk,9
2024-06-30,U.Today,94
2024-06-30,BeInCrypto,6
2024-06-30,CryptoTimes,30
2024-07-01,Decrypt,15
2024-07-01,Blockworks,24
2024-07-01,CoinDesk,9
2024-07-01,U.Today,94
2024-07-01,BeInCrypto,6
2024-07-01,CryptoTimes,30
2024-07-02,Decrypt,15
2024-07-02,Blockworks,24
2024-07-02,CoinDesk,9
2024-07-02,U.Today,94
2024-07-02,BeInCrypto,6
2024-07-02,CryptoTimes,30
2024-07-03,Decrypt,15
2024-07-03,Blockworks,24
2024-07-03,CoinDesk,9
2024-07-03,U.Today,94
2024-07-03,BeInCrypto,6
2024-07-03,CryptoTimes,30
2024-07-04,Decrypt,15
2024-07-04,Blockworks,24
2024-07-04,CoinDesk,9
2024-07-04,U.Today,94
2024-07-04,BeInCrypto,0
2024-07-04,CryptoTimes,30
2024-07-05,Decrypt,15
2024-07-05,Blockworks,24
2024-07-05,CoinDesk,8
2024-07-05,U.Today,94
2024-07-05,BeInCrypto,6
2024-07-05,CryptoTimes,30
2024-07-06,Decrypt,15
2024-07-06,Blockworks,24
2024-07-06,CoinDesk,9
2024-07-06,U.Today,94
2024-07-06,BeInCrypto,6
2024-07-06,CryptoTimes,30
2024-07-07,Decrypt,15
2024-07-07,Blockworks,24
2024-07-07,CoinDesk,9
2024-07-07,U.Today,94
2024-07-07,BeInCrypto,6
2024-07-07,CryptoTimes,30
2024-07-08,Decrypt,15
2024-07-08,Blockworks,24
2024-07-08,CoinDesk,9
2024-07-08,U.Today,94
2024-07-08,BeInCrypto,6
2024-07-08,CryptoTimes,30
2024-07-09,Decrypt,15
2024-07-09,Blockworks,24
2024-07-09,CoinDesk,9
2024-07-09,U.Today,94
2024-07-09,BeInCrypto,6
2024-07-09,CryptoTimes,30
2024-07-10,Decrypt,15
2024-07-10,Blockworks,24
2024-07-10,CoinDesk,9
2024-07-10,U.Today,94
2024-07-10,BeInCrypto,6
2024-07-10,CryptoTimes,30
2024-07-11,Decrypt,15
2024-07-11,Blockworks,24
2024-07-11,CoinDesk,9
2024-07-11,U.Today,94
2024-07-11,BeInCrypto,6
2024-07-11,CryptoTimes,30
2024-07-12,Decrypt,15
2024-07-12,Blockworks,24
2024-07-12,CoinDesk,9
2024-07-12,U.Today,94
2024-07-12,BeInCrypto,6
2024-07-12,CryptoTimes,30
2024-07-13,Decrypt,15
2024-07-13,Blockworks,24
2024-07-13,CoinDesk,9
2024-07-13,U.Today,103
2024-07-13,BeInCrypto,6
2024-07-13,CryptoTimes,30
2024-07-14,Decrypt,15
2024-07-14,Blockworks,24
2024-07-14,CoinDesk,9
2024-07-14,U.Today,103
2024-07-14,BeInCrypto,6
2024-07-14,CryptoTimes,30
2024-07-15,Decrypt,15
2024-07-15,Blockworks,24
2024-07-15,CoinDesk,9
2024-07-15,U.Today,103
2024-07-15,BeInCrypto,6
2024-07-15,CryptoTimes,30
2024-07-16,Decrypt,15
2024-07-16,Blockworks,24
2024-07-16,CoinDesk,9
2024-07-16,U.Today,103
2024-07-16,BeInCrypto,6
2024-07-16,CryptoTimes,30
2024-07-17,Decrypt,15
2024-07-17,Blockworks,24
2024-07-17,CoinDesk,9
2024-07-17,U.Today,103
2024-07-17,BeInCrypto,6
2024-07-17,CryptoTimes,30
2024-07-18,Decrypt,15
2024-07-18,Blockworks,24
2024-07-18,CoinDesk,9
2024-07-18,U.Today,103
2024-07-18,BeInCrypto,0
2024-07-18,CryptoTimes,30
2024-07-19,Decrypt,15
2024-07-19,Blockworks,24
2024-07-19,CoinDesk,9
2024-07-19,U.Today,103
2024-07-19,BeInCrypto,0
2024-07-19,CryptoTimes,30
2024-07-20,Decrypt,15
2024-07-20,Blockworks,24
2024-07-20,CoinDesk,9
2024-07-20,U.Today,103
2024-07-20,BeInCrypto,0
2024-07-20,CryptoTimes,30
2024-07-21,Decrypt,15
2024-07-21,Blockworks,24
2024-07-21,CoinDesk,9
2024-07-21,U.Today,103
2024-07-21,BeInCrypto,0
2024-07-21,CryptoTimes,30
2024-07-22,Decrypt,15
2024-07-22,Blockworks,24
2024-07-22,CoinDesk,9
2024-07-22,U.Today,103
2024-07-22,BeInCrypto,0
2024-07-22,CryptoTimes,30
2024-07-23,Decrypt,15
2024-07-23,Blockworks,24
2024-07-23,CoinDesk,9
2024-07-23,U.Today,103
2024-07-23,BeInCrypto,0
2024-07-23,CryptoTimes,30
2024-07-24,Decrypt,15
2024-07-24,Blockworks,24
2024-07-24,CoinDesk,9
2024-07-24,U.Today,103
2024-07-24,BeInCrypto,0
2024-07-24,CryptoTimes,30
2024-07-25,Decrypt,15
2024-07-25,Blockworks,24
2024-07-25,CoinDesk,9
2024-07-25,U.Today,103
2024-07-25,BeInCrypto,0
2024-07-25,CryptoTimes,30
2024-07-26,Decrypt,15
2024-07-26,Blockworks,24
2024-07-26,CoinDesk,9
2024-07-26,U.Today,103
2024-07-26,BeInCrypto,0
2024-07-26,CryptoTimes,30
2024-07-27,Decrypt,15
2024-07-27,Blockworks,24
2024-07-27,CoinDesk,9
2024-07-27,U.Today,103
2024-07-27,BeInCrypto,0
2024-07-27,CryptoTimes,30
2024-07-28,Decrypt,15
2024-07-28,Blockworks,24
2024-07-28,CoinDesk,9
2024-07-28,U.Today,103
2024-07-28,BeInCrypto,0
2024-07-28,CryptoTimes,30
2024-07-29,Decrypt,15
2024-07-29,Blockworks,24
2024-07-29,CoinDesk,9
2024-07-29,U.Today,103
2024-07-29,BeInCrypto,0
2024-07-29,CryptoTimes,30
2024-07-30,Decrypt,15
2024-07-30,Blockworks,24
2024-07-30,CoinDesk,9
2024-07-30,U.Today,103
2024-07-30,BeInCrypto,0
2024-07-30,CryptoTimes,30
2024-07-31,Decrypt,15
2024-07-31,Blockworks,24
2024-07-31,CoinDesk,9
2024-07-31,U.Today,103
2024-07-31,BeInCrypto,0
2024-07-31,CryptoTimes,30
2024-08-01,Decrypt,15
2024-08-01,Blockworks,24
2024-08-01,CoinDesk,9
2024-08-01,U.Today,103
2024-08-01,BeInCrypto,0
2024-08-01,CryptoTimes,30
2024-08-02,Decrypt,15
2024-08-02,Blockworks,24
2024-08-02,CoinDesk,9
2024-08-02,U.Today,103
2024-08-02,BeInCrypto,6
2024-08-02,CryptoTimes,30
2024-08-03,Decrypt,15
2024-08-03,Blockworks,24
2024-08-03,CoinDesk,9
2024-08-03,U.Today,103
2024-08-03,BeInCrypto,6
2024-08-03,CryptoTimes,30
2024-08-04,Decrypt,15
2024-08-04,Blockworks,24
2024-08-04,CoinDesk,9
2024-08-04,U.Today,103
2024-08-04,BeInCrypto,6
2024-08-04,CryptoTimes,30
2024-08-05,Decrypt,15
2024-08-05,Blockworks,24
2024-08-05,CoinDesk,9
2024-08-05,U.Today,103
2024-08-05,BeInCrypto,6
2024-08-05,CryptoTimes,30
2024-08-06,Decrypt,15
2024-08-06,Blockworks,24
2024-08-06,CoinDesk,9
2024-08-06,U.Today,103
2024-08-06,BeInCrypto,6
2024-08-06,CryptoTimes,30
2024-08-07,Decrypt,15
2024-08-07,Blockworks,24
2024-08-07,CoinDesk,9
2024-08-07,U.Today,103
2024-08-07,BeInCrypto,6
2024-08-07,CryptoTimes,30
2024-08-08,Decrypt,15
2024-08-08,Blockworks,24
2024-08-08,CoinDesk,9
2024-08-08,U.Today,103
2024-08-08,BeInCrypto,6
2024-08-08,CryptoTimes,30
2024-08-09,Decrypt,15
2024-08-09,Blockworks,24
2024-08-09,CoinDesk,9
2024-08-09,U.Today,103
2024-08-09,BeInCrypto,6
2024-08-09,CryptoTimes,30
2024-08-10,Decrypt,15
2024-08-10,Blockworks,24
2024-08-10,CoinDesk,9
2024-08-10,U.Today,103
2024-08-10,BeInCrypto,0
2024-08-10,CryptoTimes,30
2024-08-11,Decrypt,15
2024-08-11,Blockworks,24
2024-08-11,CoinDesk,9
2024-08-11,U.Today,103
2024-08-11,BeInCrypto,6
2024-08-11,CryptoTimes,30
2024-08-12,Decrypt,15
2024-08-12,Blockworks,24
2024-08-12,CoinDesk,9
2024-08-12,U.Today,103
2024-08-12,BeInCrypto,6
2024-08-12,CryptoTimes,30
2024-08-13,Decrypt,15
2024-08-13,Blockworks,24
2024-08-13,CoinDesk,9
2024-08-13,U.Today,103
2024-08-13,BeInCrypto,6
2024-08-13,CryptoTimes,30
2024-08-14,Decrypt,15
2024-08-14,Blockworks,24
2024-08-14,CoinDesk,9
2024-08-14,U.Today,103
2024-08-14,BeInCrypto,6
2024-08-14,CryptoTimes,30
2024-08-15,Decrypt,15
2024-08-15,Blockworks,24
2024-08-15,CoinDesk,9
2024-08-15,U.Today,103
2024-08-15,BeInCrypto,6
2024-08-15,CryptoTimes,30
2024-08-16,Decrypt,15
2024-08-16,Blockworks,24
2024-08-16,CoinDesk,9
2024-08-16,U.Today,103
2024-08-16,BeInCrypto,6
2024-08-16,CryptoTimes,30
2024-08-17,Decrypt,15
2024-08-17,Blockworks,24
2024-08-17,CoinDesk,9
2024-08-17,U.Today,103
2024-08-17,BeInCrypto,6
2024-08-17,CryptoTimes,30
2024-08-18,Decrypt,15
2024-08-18,Blockworks,24
2024-08-18,CoinDesk,9
2024-08-18,U.Today,103
2024-08-18,BeInCrypto,6
2024-08-18,CryptoTimes,30
2024-08-19,Decrypt,15
2024-08-19,Blockworks,24
2024-08-19,CoinDesk,9
2024-08-19,U.Today,103
2024-08-19,BeInCrypto,6
2024-08-19,CryptoTimes,30
2024-08-20,Decrypt,15
2024-08-20,Blockworks,24
2024-08-20,CoinDesk,9
2024-08-20,U.Today,103
2024-08-20,BeInCrypto,6
2024-08-20,CryptoTimes,30
2024-08-21,Decrypt,15
2024-08-21,Blockworks,24
2024-08-21,CoinDesk,9
2024-08-21,U.Today,103
2024-08-21,BeInCrypto,6
2024-08-21,CryptoTimes,30
2024-08-22,Decrypt,15
2024-08-22,Blockworks,24
2024-08-22,CoinDesk,9
2024-08-22,U.Today,103
2024-08-22,BeInCrypto,6
2024-08-22,CryptoTimes,30
2024-08-23,Decrypt,15
2024-08-23,Blockworks,24
2024-08-23,CoinDesk,9
2024-08-23,U.Today,103
2024-08-23,BeInCrypto,6
2024-08-23,CryptoTimes,30
2024-08-24,Decrypt,15
2024-08-24,Blockworks,24
2024-08-24,CoinDesk,9
2024-08-24,U.Today,103
2024-08-24,BeInCrypto,6
2024-08-24,CryptoTimes,30
2024-08-25,Decrypt,15
2024-08-25,Blockworks,24
2024-08-25,CoinDesk,9
2024-08-25,U.Today,103
2024-08-25,BeInCrypto,6
2024-08-25,CryptoTimes,30
2024-08-26,Decrypt,15
2024-08-26,Blockworks,24
2024-08-26,CoinDesk,9
2024-08-26,U.Today,103
2024-08-26,BeInCrypto,6
2024-08-26,CryptoTimes,30
2024-08-27,Decrypt,15
2024-08-27,Blockworks,24
2024-08-27,CoinDesk,9
2024-08-27,U.Today,103
2024-08-27,BeInCrypto,6
2024-08-27,CryptoTimes,30
2024-08-28,Decrypt,15
2024-08-28,Blockworks,24
2024-08-28,CoinDesk,9
2024-08-28,U.Today,103
2024-08-28,BeInCrypto,6
2024-08-28,CryptoTimes,30
2024-08-29,Decrypt,15
2024-08-29,Blockworks,24
2024-08-29,CoinDesk,9
2024-08-29,U.Today,103
2024-08-29,BeInCrypto,6
2024-08-29,CryptoTimes,30
2024-08-30,Decrypt,15
2024-08-30,Blockworks,24
2024-08-30,CoinDesk,9
2024-08-30,U.Today,103
2024-08-30,BeInCrypto,6
2024-08-30,CryptoTimes,30
2024-08-31,Decrypt,15
2024-08-31,Blockworks,24
2024-08-31,CoinDesk,9
2024-08-31,U.Today,103
2024-08-31,BeInCrypto,6
2024-08-31,CryptoTimes,30
2024-09-01,Decrypt,15
2024-09-01,Blockworks,24
2024-09-01,CoinDesk,9
2024-09-01,U.Today,103
2024-09-01,BeInCrypto,6
2024-09-01,CryptoTimes,30
2024-09-02,Decrypt,15
2024-09-02,Blockworks,24
2024-09-02,CoinDesk,9
2024-09-02,U.Today,103
2024-09-02,BeInCrypto,6
2024-09-02,CryptoTimes,30
2024-09-03,Decrypt,15
2024-09-03,Blockworks,24
2024-09-03,CoinDesk,9
2024-09-03,U.Today,103
2024-09-03,BeInCrypto,6
2024-09-03,CryptoTimes,30
2024-09-04,Decrypt,15
2024-09-04,Blockworks,24
2024-09-04,CoinDesk,9
2024-09-04,U.Today,103
2024-09-04,BeInCrypto,0
2024-09-04,CryptoTimes,30
2024-09-05,Decrypt,15
2024-09-05,Blockworks,24
2024-09-05,CoinDesk,9
2024-09-05,U.Today,103
2024-09-05,BeInCrypto,6
2024-09-05,CryptoTimes,30
2024-09-06,Decrypt,15
2024-09-06,Blockworks,24
2024-09-06,CoinDesk,9
2024-09-06,U.Today,103
2024-09-06,BeInCrypto,6
2024-09-06,CryptoTimes,30
2024-09-07,Decrypt,15
2024-09-07,Blockworks,24
2024-09-07,CoinDesk,9
2024-09-07,U.Today,103
2024-09-07,BeInCrypto,6
2024-09-07,CryptoTimes,30
2024-09-08,Decrypt,15
2024-09-08,Blockworks,24
2024-09-08,CoinDesk,9
2024-09-08,U.Today,103
2024-09-08,BeInCrypto,6
2024-09-08,CryptoTimes,30
2024-09-09,Decrypt,15
2024-09-09,Blockworks,24
2024-09-09,CoinDesk,9
2024-09-09,U.Today,103
2024-09-09,BeInCrypto,6
2024-09-09,CryptoTimes,30
2024-09-10,Decrypt,15
2024-09-10,Blockworks,24
2024-09-10,CoinDesk,9
2024-09-10,U.Today,103
2024-09-10,BeInCrypto,6
2024-09-10,CryptoTimes,30
2024-09-11,Decrypt,15
2024-09-11,Blockworks,24
2024-09-11,CoinDesk,9
2024-09-11,U.Today,103
2024-09-11,BeInCrypto,6
2024-09-11,CryptoTimes,30
2024-09-12,Decrypt,15
2024-09-12,Blockworks,24
2024-09-12,CoinDesk,9
2024-09-12,U.Today,97
2024-09-12,BeInCrypto,6
2024-09-12,CryptoTimes,30
2024-09-13,Decrypt,15
2024-09-13,Blockworks,24
2024-09-13,CoinDesk,9
2024-09-13,U.Today,97
2024-09-13,BeInCrypto,6
2024-09-13,CryptoTimes,30
2024-09-14,Decrypt,15
2024-09-14,Blockworks,24
2024-09-14,CoinDesk,9
2024-09-14,U.Today,97
2024-09-14,BeInCrypto,6
2024-09-14,CryptoTimes,30
2024-09-15,Decrypt,15
2024-09-15,Blockworks,24
2024-09-15,CoinDesk,9
2024-09-15,U.Today,97
2024-09-15,BeInCrypto,6
2024-09-15,CryptoTimes,30
2024-09-16,Decrypt,15
2024-09-16,Blockworks,24
2024-09-16,CoinDesk,9
2024-09-16,U.Today,97
2024-09-16,BeInCrypto,6
2024-09-16,CryptoTimes,30
2024-09-17,Decrypt,15
2024-09-17,Blockworks,24
2024-09-17,CoinDesk,9
2024-09-17,U.Today,97
2024-09-17,BeInCrypto,6
2024-09-17,CryptoTimes,30
2024-09-18,Decrypt,15
2024-09-18,Blockworks,24
2024-09-18,CoinDesk,9
2024-09-18,U.Today,97
2024-09-18,BeInCrypto,6
2024-09-18,CryptoTimes,30
2024-09-19,Decrypt,15
2024-09-19,Blockworks,24
2024-09-19,CoinDesk,9
2024-09-19,U.Today,97
2024-09-19,BeInCrypto,0
2024-09-19,CryptoTimes,30
2024-09-20,Decrypt,15
2024-09-20,Blockworks,24
2024-09-20,CoinDesk,9
2024-09-20,U.Today,97
2024-09-20,BeInCrypto,6
2024-09-20,CryptoTimes,30
2024-09-21,Decrypt,15
2024-09-21,Blockworks,24
2024-09-21,CoinDesk,9
2024-09-21,U.Today,97
2024-09-21,BeInCrypto,0
2024-09-21,CryptoTimes,30
2024-09-23,Decrypt,15
2024-09-23,Blockworks,24
2024-09-23,CoinDesk,9
2024-09-23,U.Today,97
2024-09-23,BeInCrypto,0
2024-09-23,CryptoTimes,30
2024-09-24,Decrypt,15
2024-09-24,Blockworks,24
2024-09-24,CoinDesk,9
2024-09-24,U.Today,97
2024-09-24,BeInCrypto,0
2024-09-24,CryptoTimes,30
2024-09-25,Decrypt,15
2024-09-25,Blockworks,24
2024-09-25,CoinDesk,9
2024-09-25,U.Today,97
2024-09-25,BeInCrypto,6
2024-09-25,CryptoTimes,30
2024-09-26,Decrypt,15
2024-09-26,Blockworks,24
2024-09-26,CoinDesk,9
2024-09-26,U.Today,97
2024-09-26,BeInCrypto,6
2024-09-26,CryptoTimes,30
2024-09-27,Decrypt,15
2024-09-27,Blockworks,24
2024-09-27,CoinDesk,9
2024-09-27,U.Today,97
2024-09-27,BeInCrypto,6
2024-09-27,CryptoTimes,30
2024-09-28,Decrypt,15
2024-09-28,Blockworks,24
2024-09-28,CoinDesk,9
2024-09-28,U.Today,97
2024-09-28,BeInCrypto,6
2024-09-28,CryptoTimes,30
2024-09-29,Decrypt,15
2024-09-29,Blockworks,24
2024-09-29,CoinDesk,9
2024-09-29,U.Today,97
2024-09-29,BeInCrypto,6
2024-09-29,CryptoTimes,30
2024-09-30,Decrypt,15
2024-09-30,Blockworks,24
2024-09-30,CoinDesk,9
2024-09-30,U.Today,97
2024-09-30,BeInCrypto,6
2024-09-30,CryptoTimes,30
2024-10-01,Decrypt,15
2024-10-01,Blockworks,24
2024-10-01,CoinDesk,9
2024-10-01,U.Today,97
2024-10-01,BeInCrypto,6
2024-10-01,CryptoTimes,30
2024-10-02,Decrypt,15
2024-10-02,Blockworks,24
2024-10-02,CoinDesk,9
2024-10-02,U.Today,97
2024-10-02,BeInCrypto,6
2024-10-02,CryptoTimes,30
2024-10-03,Decrypt,15
2024-10-03,Blockworks,24
2024-10-03,CoinDesk,9
2024-10-03,U.Today,97
2024-10-03,BeInCrypto,6
2024-10-03,CryptoTimes,30
2024-10-04,Decrypt,15
2024-10-04,Blockworks,24
2024-10-04,CoinDesk,9
2024-10-04,U.Today,97
2024-10-04,BeInCrypto,6
2024-10-04,CryptoTimes,30
2024-10-05,Decrypt,15
2024-10-05,Blockworks,24
2024-10-05,CoinDesk,9
2024-10-05,U.Today,97
2024-10-05,BeInCrypto,6
2024-10-05,CryptoTimes,30
2024-10-06,Decrypt,15
2024-10-06,Blockworks,24
2024-10-06,CoinDesk,9
2024-10-06,U.Today,97
2024-10-06,BeInCrypto,6
2024-10-06,CryptoTimes,30
2024-10-07,Decrypt,15
2024-10-07,Blockworks,24
2024-10-07,CoinDesk,9
2024-10-07,U.Today,97
2024-10-07,BeInCrypto,6
2024-10-07,CryptoTimes,30
2024-10-08,Decrypt,15
2024-10-08,Blockworks,24
2024-10-08,CoinDesk,9
2024-10-08,U.Today,97
2024-10-08,BeInCrypto,6
2024-10-08,CryptoTimes,30
2024-10-09,Decrypt,15
2024-10-09,Blockworks,24
2024-10-09,CoinDesk,9
2024-10-09,U.Today,97
2024-10-09,BeInCrypto,6
2024-10-09,CryptoTimes,30
2024-10-10,Decrypt,15
2024-10-10,Blockworks,24
2024-10-10,CoinDesk,9
2024-10-10,U.Today,97
2024-10-10,BeInCrypto,0
2024-10-10,CryptoTimes,30
2024-10-11,Decrypt,15
2024-10-11,Blockworks,24
2024-10-11,CoinDesk,9
2024-10-11,U.Today,97
2024-10-11,BeInCrypto,6
2024-10-11,CryptoTimes,30
2024-10-12,Decrypt,15
2024-10-12,Blockworks,24
2024-10-12,CoinDesk,9
2024-10-12,U.Today,97
2024-10-12,BeInCrypto,0
2024-10-12,CryptoTimes,30
2024-10-13,Decrypt,15
2024-10-13,Blockworks,24
2024-10-13,CoinDesk,9
2024-10-13,U.Today,97
